Datetime,Upstream,Downstream,Body,Actuator,Hyperbaric,Backseat,Spring Chamber,Primary Stem Seal,Secondary Stem Seal,Relief Port,BX Port,Flow Meter,Mass Spectrometer Mantissa,Mass Spectrometer,LVDT,Torque,Number Of Turns,Motor Speed,Ambient Temperature,Body Temperature,Monitor Temperature,Chamber Temperature,Hyperbaric Water Temperature,Close,Open,Cycle Count
01/10/2025 16:24:25.268,-1961598,-1961670,-1960491,-1960254,-1960268,-1959471,-1959958,-1960580,-1960247,-1960183,-1959494,-1953000,0,0,38,-223,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.278,-1961597,-1961669,-1960491,-1960255,-1960268,-1959471,-1959958,-1960579,-1960247,-1960183,-1959494,-1953031,0,0,46,-224,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.288,-1961596,-1961669,-1960492,-1960256,-1960269,-1959472,-1959959,-1960580,-1960248,-1960182,-1959493,-1953085,0,9,67,-220,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.298,-1961597,-1961668,-1960492,-1960256,-1960269,-1959472,-1959958,-1960580,-1960249,-1960181,-1959493,-1953058,0,12,96,-223,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.308,-1961597,-1961668,-1960492,-1960257,-1960270,-1959471,-1959957,-1960580,-1960250,-1960181,-1959494,-1953002,0,12,88,-211,0,0,9786,1372,1372,1372,988.6,FALSE,FALSE,1
01/10/2025 16:24:25.318,-1961597,-1961668,-1960493,-1960257,-1960270,-1959470,-1959958,-1960581,-1960249,-1960181,-1959493,-1953032,0,23,59,-229,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.328,-1961597,-1961669,-1960493,-1960257,-1960271,-1959470,-1959958,-1960582,-1960249,-1960181,-1959494,-1953065,0,23,81,-240,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.338,-1961597,-1961670,-1960494,-1960257,-1960270,-1959470,-1959958,-1960583,-1960249,-1960182,-1959494,-1953017,0,0,70,-240,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.348,-1961597,-1961671,-1960495,-1960257,-1960269,-1959470,-1959958,-1960583,-1960248,-1960182,-1959494,-1953028,0,7,70,-256,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.358,-1961597,-1961672,-1960496,-1960257,-1960269,-1959471,-1959958,-1960583,-1960248,-1960182,-1959494,-1953063,0,5,71,-256,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.368,-1961597,-1961672,-1960496,-1960257,-1960270,-1959472,-1959957,-1960584,-1960248,-1960182,-1959494,-1953018,0,0,74,-248,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.378,-1961596,-1961671,-1960496,-1960257,-1960270,-1959472,-1959957,-1960584,-1960248,-1960182,-1959494,-1953033,0,14,105,-222,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
01/10/2025 16:24:25.388,-1961596,-1961670,-1960496,-1960258,-1960271,-1959472,-1959958,-1960585,-1960247,-1960181,-1959494,-1953058,0,33,87,-198,0,0,9787,1372,1372,1372,988.7,FALSE,FALSE,1
